Semáforo (TLS),Fila Média,Fila Máxima,Espera Média (s),Espera Máxima (s),Trocas de Fase,Veículos Passaram
n00,0.0,0,0.0,0.0,0,19668
n01,0.68,20,9.06,446.0,46,16504
n02,0.0,0,0.0,0.0,0,340
n10,0.41,6,1.51,49.0,102,34721
n11,0.0,0,0.0,0.0,49,0
n12,0.17,2,0.0,0.0,0,58122
n20,0.0,0,0.0,0.0,0,10881
n21,0.91,8,21.92,328.0,80,12415
n22,0.0,0,0.0,0.0,0,8642
