TLS,Modo,EsperaMed,FilaMed,GreenMed,GreenMax,BalanceMed,Anomalias
n00,ADAPTATIVO,0.0,0.0,30.01,31,0,0
n01,ADAPTATIVO,0.0,0.0,90.0,90,0,0
n02,ADAPTATIVO,0.0,0.01,29.78,30,0,0
n10,ADAPTATIVO,0.0,0.0,90.03,91,0,0
n11,RL,0.0,0.01,50.0,50,0,0
n12,RL,0.0,0.01,49.35,50,0,0
n20,ADAPTATIVO,0.0,0.0,30.01,31,0,0
n21,FIXO,0.0,0.01,90.0,90,0,0
n22,FIXO,0.0,0.01,29.78,30,0,0
