TLS,Modo,EsperaMed,FilaMed,GreenMed,GreenMax,BalanceMed,Anomalias
n00,ADAPTATIVO,0.0,0.0,30.0,31,0,0
n01,ADAPTATIVO,0.0,0.24,90.0,90,0,0
n02,ADAPTATIVO,0.0,0.2,29.91,30,0,0
n10,ADAPTATIVO,0.0,0.0,90.01,91,0,0
n11,RL,0.0,0.21,50.0,50,0,0
n12,RL,0.0,0.23,49.73,50,0,0
n20,ADAPTATIVO,0.0,0.0,30.0,31,0,0
n21,FIXO,0.0,0.33,90.0,90,0,0
n22,FIXO,0.0,0.24,29.91,30,0,0
